#"Step";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
21700;-309268.5805230045;20280.21031512771;124.55757208539232;187.22828582029118;697
21800;-309384.94587944984;20470.53593410962;125.72651938118798;187.48813862972645;697
21900;-309248.6513237858;20504.461323293464;125.9348833006509;187.57435417150143;697
22000;-309292.2895073795;20593.62310189125;126.48249964645727;187.83908394409985;697
22100;-309007.6603569889;20783.12180122896;127.64636814368083;187.96905780238797;697
22200;-308950.9795708561;21022.312074478337;129.11543376181007;187.79207449456524;697
22300;-308540.2912163639;20901.77883822733;128.37513930579934;187.30944443353113;697
22400;-308489.9503960514;21094.039406901342;129.55597073060605;187.26694258589458;697
22500;-308294.7451958561;20786.057548729677;127.66439900111587;187.0023506644875;696
22600;-308490.36464165687;21251.160373284816;130.5209807473827;187.20625539707677;696
22700;-308466.9427056217;21292.10485494233;130.77245472848585;187.5801404964778;696
22800;-308282.2250542545;21088.055904892477;129.5192210879144;187.50883926291988;696
22900;-308321.19990777015;21159.918324117156;129.96058773666812;187.48719429890457;696
23000;-308437.82588433265;21417.46306332838;131.54238333548332;187.41663374035747;696
23100;-308023.5998101139;21347.036391866393;131.10983480314303;187.41663374035747;695
23200;-307824.24080132484;21621.870391064556;132.7978180703139;187.72906336671414;695
23300;-307598.59724663734;21720.034222504444;133.40072348010798;187.5073073281551;695
23400;-307696.06318902015;22015.27368664692;135.21403361180558;187.5073073281551;695
23500;-307695.2821831608;22023.95280162993;135.26733924687227;187.29674440982615;694
23600;-307709.6299614811;22001.695990593995;135.13064173230399;187.2302563208424;694
23700;-307476.6848931217;22061.524914484005;135.49810071741436;186.95470220264679;694
23800;-307559.00068902015;22244.775124467153;136.6235920651354;186.5885527920841;694
23900;-307683.200640192;22569.58954376611;138.6185464969455;186.95982872152865;694
24000;-307551.8897271061;22407.830888909637;137.62505259330032;186.68695334390088;694
24100;-307244.9688286686;22566.98014959076;138.60252004563924;186.68695334390088;694
24200;-307091.6172661686;22799.28269377636;140.02928241365248;186.78101998056474;693
24300;-307166.34443902015;23045.913367602858;141.54404569550556;186.92448332508204;693
24400;-307061.2685112858;22940.60537017687;140.89726204401788;186.3746175425317;693
24500;-306876.3227715397;22874.52010349294;140.491377674928;186.48581507552947;693
24600;-306915.4864067936;23175.133772714198;142.33769525211557;186.6201760080214;693
24700;-306734.1886773014;23125.482360648006;142.03274479837384;186.84519437298033;692
24800;-306676.849077692;23222.49895623143;142.62860408237975;186.84060207466555;692
24900;-306862.64998101234;23560.982470726463;144.7075117515464;186.37404211725328;692
25000;-306682.5565972233;23617.727150217048;145.0560278367489;186.37404211725328;692
25100;-306357.7461724186;23794.373431349522;146.14095898656848;186.40260428778535;692
25200;-306098.1614556217;23749.18434717809;145.86341538511198;186.58869964521145;691
25300;-306075.9191460514;23858.959283417367;146.53763420835534;186.72978163144754;691
